MSG,4,0,0,780587,0,2014/10/23,02:43:54.011,2014/10/23,02:43:54.011,,,158.1,150,,,192,,,,,0
MSG,4,0,0,780587,0,2014/10/23,02:43:54.406,2014/10/23,02:43:54.406,,,158.1,150,,,128,,,,,0
MSG,3,0,0,780587,0,2014/10/23,02:43:54.607,2014/10/23,02:43:54.607,,3450,,,40.267406,124.272475,,,0,,0,0
MSG,4,0,0,780587,0,2014/10/23,02:43:55.389,2014/10/23,02:43:55.389,,,158.1,150,,,64,,,,,0
MSG,8,0,0,780587,0,2014/10/23,02:43:55.593,2014/10/23,02:43:55.593,,,,,,,,,,,,0
MSG,3,0,0,780587,0,2014/10/23,02:43:55.793,2014/10/23,02:43:55.793,,3450,,,40.266615,124.273099,,,0,,0,0
MSG,4,0,0,780587,0,2014/10/23,02:43:55.993,2014/10/23,02:43:55.993,,,158.1,150,,,64,,,,,0
MSG,4,0,0,780587,0,2014/10/23,02:43:56.370,2014/10/23,02:43:56.370,,,158.1,150,,,64,,,,,0
MSG,3,0,0,780587,0,2014/10/23,02:43:56.573,2014/10/23,02:43:56.573,,3450,,,40.266103,124.273474,,,0,,0,0
MSG,3,0,0,780587,0,2014/10/23,02:43:57.026,2014/10/23,02:43:57.026,,3450,,,40.265717,124.273743,,,0,,0,0
MSG,3,0,0,780587,0,2014/10/23,02:43:57.419,2014/10/23,02:43:57.419,,3450,,,40.265488,124.273926,,,0,,0,0
MSG,8,0,0,780587,0,2014/10/23,02:43:57.620,2014/10/23,02:43:57.620,,,,,,,,,,,,0
MSG,4,0,0,780587,0,2014/10/23,02:43:57.620,2014/10/23,02:43:57.620,,,158.1,150,,,0,,,,,0
MSG,4,0,0,780587,0,2014/10/23,02:43:58.008,2014/10/23,02:43:58.008,,,158.1,150,,,0,,,,,0
MSG,1,0,0,780587,0,2014/10/23,02:43:58.400,2014/10/23,02:43:58.400,FM9231,,,,,,,,,,,0
MSG,3,0,0,780587,0,2014/10/23,02:43:58.607,2014/10/23,02:43:58.607,,3450,,,40.264984,124.274292,,,0,,0,0
MSG,4,0,0,780587,0,2014/10/23,02:43:58.607,2014/10/23,02:43:58.607,,,159,150.2,,,0,,,,,0
