MSG,8,0,0,7BB075,0,2014/11/02,07:46:12.982,2014/11/02,07:46:12.982,,,,,,,,,,,,
MSG,8,0,0,7BB075,0,2014/11/02,07:46:18.252,2014/11/02,07:46:18.252,,,,,,,,,,,,
MSG,8,0,0,7BB075,0,2014/11/02,07:46:24.147,2014/11/02,07:46:24.147,,,,,,,,,,,,
MSG,8,0,0,7BB075,0,2014/11/02,07:46:28.014,2014/11/02,07:46:28.014,,,,,,,,,,,,
MSG,7,0,0,7BB075,0,2014/11/02,07:46:46.541,2014/11/02,07:46:46.541,,10300,,,,,,,,,,0
MSG,8,0,0,7BB075,0,2014/11/02,07:46:58.500,2014/11/02,07:46:58.500,,,,,,,,,,,,
MSG,8,0,0,7BB075,0,2014/11/02,07:47:19.427,2014/11/02,07:47:19.427,,,,,,,,,,,,
MSG,8,0,0,7BB075,0,2014/11/02,07:48:00.964,2014/11/02,07:48:00.964,,,,,,,,,,,,
MSG,7,0,0,7BB075,0,2014/11/02,07:48:03.563,2014/11/02,07:48:03.563,,8400,,,,,,,,,,0
MSG,7,0,0,7BB075,0,2014/11/02,07:48:05.529,2014/11/02,07:48:05.529,,8375,,,,,,,,,,0
MSG,8,0,0,7BB075,0,2014/11/02,07:48:05.729,2014/11/02,07:48:05.729,,,,,,,,,,,,
MSG,7,0,0,7BB075,0,2014/11/02,07:48:06.129,2014/11/02,07:48:06.129,,8350,,,,,,,,,,0
MSG,8,0,0,7BB075,0,2014/11/02,07:48:11.645,2014/11/02,07:48:11.645,,,,,,,,,,,,
MSG,7,0,0,7BB075,0,2014/11/02,07:48:16.472,2014/11/02,07:48:16.472,,8125,,,,,,,,,,0
MSG,7,0,0,7BB075,0,2014/11/02,07:48:17.472,2014/11/02,07:48:17.472,,8125,,,,,,,,,,0
MSG,8,0,0,7BB075,0,2014/11/02,07:48:29.191,2014/11/02,07:48:29.191,,,,,,,,,,,,
MSG,7,0,0,7BB075,0,2014/11/02,07:48:29.391,2014/11/02,07:48:29.391,,7825,,,,,,,,,,0
MSG,8,0,0,7BB075,0,2014/11/02,07:48:32.015,2014/11/02,07:48:32.015,,,,,,,,,,,,
MSG,7,0,0,7BB075,0,2014/11/02,07:48:33.615,2014/11/02,07:48:33.615,,7750,,,,,,,,,,0
MSG,8,0,0,7BB075,0,2014/11/02,07:48:35.274,2014/11/02,07:48:35.274,,,,,,,,,,,,
MSG,7,0,0,7BB075,0,2014/11/02,07:48:36.076,2014/11/02,07:48:36.076,,7675,,,,,,,,,,0
MSG,8,0,0,7BB075,0,2014/11/02,07:48:39.182,2014/11/02,07:48:39.182,,,,,,,,,,,,
MSG,8,0,0,7BB075,0,2014/11/02,07:48:39.982,2014/11/02,07:48:39.982,,,,,,,,,,,,
