MSG,2,0,0,78029D,0,2014/11/04,00:59:20.816,2014/11/04,00:59:20.816,,,175,208.1,,,,,,,,-1
MSG,7,0,0,78029D,0,2014/11/04,00:59:21.031,2014/11/04,00:59:21.031,,23375,,,,,,,,,,-1
MSG,7,0,0,78029D,0,2014/11/04,00:59:25.158,2014/11/04,00:59:25.158,,23450,,,,,,,,,,-1
MSG,1,0,0,78029D,0,2014/11/04,00:59:25.563,2014/11/04,00:59:25.563,CSZ9850,,,,,,,,,,,-1
MSG,7,0,0,78029D,0,2014/11/04,00:59:26.310,2014/11/04,00:59:26.310,,23475,,,,,,,,,,-1
MSG,7,0,0,78029D,0,2014/11/04,00:59:27.108,2014/11/04,00:59:27.108,,23475,,,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,00:59:27.312,2014/11/04,00:59:27.312,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,00:59:32.223,2014/11/04,00:59:32.223,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,00:59:34.716,2014/11/04,00:59:34.716,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:00.331,2014/11/04,01:00:00.331,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:05.039,2014/11/04,01:00:05.039,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:07.217,2014/11/04,01:00:07.217,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:08.253,2014/11/04,01:00:08.253,,,175,208.1,,,,,,,,-1
MSG,1,0,0,78029D,0,2014/11/04,01:00:10.819,2014/11/04,01:00:10.819,CSZ9850,,,,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:11.024,2014/11/04,01:00:11.024,,,175,208.1,,,,,,,,-1
MSG,7,0,0,78029D,0,2014/11/04,01:00:13.041,2014/11/04,01:00:13.041,,23600,,,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:13.638,2014/11/04,01:00:13.638,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:14.038,2014/11/04,01:00:14.038,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:21.215,2014/11/04,01:00:21.215,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:22.610,2014/11/04,01:00:22.610,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:23.063,2014/11/04,01:00:23.063,,,175,208.1,,,,,,,,-1
MSG,7,0,0,78029D,0,2014/11/04,01:00:26.608,2014/11/04,01:00:26.608,,23600,,,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:27.017,2014/11/04,01:00:27.017,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:27.977,2014/11/04,01:00:27.977,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:29.165,2014/11/04,01:00:29.165,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:30.085,2014/11/04,01:00:30.085,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:31.989,2014/11/04,01:00:31.989,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:33.104,2014/11/04,01:00:33.104,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:34.204,2014/11/04,01:00:34.204,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:34.606,2014/11/04,01:00:34.606,,,175,208.1,,,,,,,,-1
MSG,7,0,0,78029D,0,2014/11/04,01:00:34.606,2014/11/04,01:00:34.606,,23600,,,,,,,,,,-1
MSG,7,0,0,78029D,0,2014/11/04,01:00:35.204,2014/11/04,01:00:35.204,,23600,,,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:35.598,2014/11/04,01:00:35.598,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:36.197,2014/11/04,01:00:36.197,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:36.606,2014/11/04,01:00:36.606,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:37.604,2014/11/04,01:00:37.604,,,175,208.1,,,,,,,,-1
MSG,7,0,0,78029D,0,2014/11/04,01:00:39.525,2014/11/04,01:00:39.525,,23600,,,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:41.136,2014/11/04,01:00:41.136,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:43.248,2014/11/04,01:00:43.248,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:43.653,2014/11/04,01:00:43.653,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:44.032,2014/11/04,01:00:44.032,,,175,208.1,,,,,,,,-1
MSG,7,0,0,78029D,0,2014/11/04,01:00:44.236,2014/11/04,01:00:44.236,,23600,,,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:44.638,2014/11/04,01:00:44.638,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:47.509,2014/11/04,01:00:47.509,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:47.912,2014/11/04,01:00:47.912,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:48.522,2014/11/04,01:00:48.522,,,175,208.1,,,,,,,,-1
MSG,7,0,0,78029D,0,2014/11/04,01:00:49.407,2014/11/04,01:00:49.407,,23600,,,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:51.569,2014/11/04,01:00:51.569,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:52.693,2014/11/04,01:00:52.693,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:53.744,2014/11/04,01:00:53.744,,,175,208.1,,,,,,,,-1
MSG,7,0,0,78029D,0,2014/11/04,01:00:54.344,2014/11/04,01:00:54.344,,23600,,,,,,,,,,-1
MSG,1,0,0,78029D,0,2014/11/04,01:00:55.376,2014/11/04,01:00:55.376,CSZ9850,,,,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:55.376,2014/11/04,01:00:55.376,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:56.374,2014/11/04,01:00:56.374,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:57.368,2014/11/04,01:00:57.368,,,175,208.1,,,,,,,,-1
MSG,2,0,0,78029D,0,2014/11/04,01:00:58.319,2014/11/04,01:00:58.319,,,175,208.1,,,,,,,,-1
